"","x1","x2"
"1",-50.27,-24.1
"2",2003,1.39399898746693e-05
"3",2002,1.95478631618569e-05
"4",2001,2.72092584150833e-05
"5",2000,3.75883487820974e-05
"6",1999,4.89142359263182e-05
"7",1998,6.3432362066084e-05
"8",1997,8.19537450368765e-05
"9",1996,0.000105462200101668
"10",1995,0.000135139417034448
"11",1994,0.000164524492656922
"12",1993,0.00019922691544704
"13",1992,0.000239951010757071
"14",1991,0.0002874392160449
"15",1990,0.000342462883701032
"16",1989,0.000380702479760965
"17",1988,0.000422347455897635
"18",1987,0.000467593310091439
"19",1986,0.000516634542395241
"20",1985,0.000569663125563305
"21",1984,0.000582043910034304
"22",1983,0.000594646250622513
"23",1982,0.000607471132753868
"24",1981,0.000620519439221838
"25",1980,0.000633791947672232
"26",1979,0.000611052457903064
"27",1978,0.000588982578081306
"28",1977,0.000567568882955086
"29",1976,0.000546797953974296
"30",1975,0.000526656392126866
"31",1974,0.000488207945047142
"32",1973,0.000452117197166917
"33",1972,0.000418278855508996
"34",1971,0.0003865890032699
"35",1970,0.000356945393715933
"36",1969,0.000333733053365058
"37",1968,0.000311815104233638
"38",1967,0.000291135765899249
"39",1966,0.000271640462543526
"40",1965,0.000253275888511977
"41",1964,0.000243087686261481
"42",1963,0.000233243165368634
"43",1962,0.000223734713880065
"44",1961,0.000214554679293052
"45",1960,0.000205695380611215
"46",1959,0.000194259456575536
"47",1958,0.000183363968232574
"48",1957,0.000172990318828595
"49",1956,0.000163120087053838
"50",1955,0.000153735057492751
"51",1954,0.000142089136911169
"52",1953,0.000131295196593407
"53",1952,0.000121295207927332
"54",1951,0.000112034573071485
"55",1950,0.00010346198196942
"56",1949,9.86289344742695e-05
"57",1948,9.3997837747213e-05
"58",1947,8.95615003700399e-05
"59",1946,8.5312924953629e-05
"60",1945,8.12453059022222e-05
"61",1944,8.25814849329465e-05
"62",1943,8.3937276272396e-05
"63",1942,8.5312924953629e-05
"64",1941,8.67086783384489e-05
"65",1940,8.81247861274665e-05
"66",1939,9.86448016181366e-05
"67",1938,0.000110342186810927
"68",1937,0.000123335593073766
"69",1936,0.000137753565924384
"70",1935,0.000153735057492751
"71",1934,0.00020126062740084
"72",1933,0.000260837614297999
"73",1932,0.000334685830621378
"74",1931,0.000425198161098802
"75",1930,0.000534890131495438
"76",1929,0.000652709682994471
"77",1928,0.000790762227083024
"78",1927,0.00095113500709815
"79",1926,0.00113581815768764
"80",1925,0.00134662241207801
"81",1924,0.00146231437771441
"82",1923,0.0015850875668758
"83",1922,0.00171507598718621
"84",1921,0.00185238421242102
"85",1920,0.00199708418723403
"86",1919,0.00208319563518325
"87",1918,0.00217230306649783
"88",1917,0.00226445030042411
"89",1916,0.00235967675199219
"90",1915,0.00245801698065853
"91",1914,0.00250893393386836
"92",1913,0.00256031950999094
"93",1912,0.0026121565259077
"94",1911,0.00266442720085921
"95",1910,0.00271711317451497
"96",1909,0.00277019552623513
"97",1908,0.00282365479548006
"98",1907,0.00287747100331889
"99",1906,0.00293162367498498
"100",1905,0.00298609186342383
"101",1904,0.00305698009719273
"102",1903,0.00312877428438427
"103",1902,0.00320145963794289
"104",1901,0.00327502035404461
"105",1900,0.00334943960435149
"106",1899,0.00346860054575053
"107",1898,0.00359060134710867
"108",1897,0.00371540695127347
"109",1896,0.00384297364253302
"110",1895,0.00397324864431532
"111",1894,0.00419964689189039
"112",1893,0.00442910809993372
"113",1892,0.00466083539593354
"114",1891,0.00489398844255785
"115",1890,0.00512768924701499
"116",1889,0.0053887145845694
"117",1888,0.00565255620443571
"118",1887,0.00591817192317729
"119",1886,0.00618443542333382
"120",1885,0.00645014108041381
"121",1884,0.00665214555130241
"122",1883,0.00685102016240309
"123",1882,0.00704611490582435
"124",1881,0.00723677666414393
"125",1880,0.0074223527725729
"126",1879,0.00761124969241424
"127",1878,0.00779545199497579
"128",1877,0.00797424825384784
"129",1876,0.00814692177847554
"130",1875,0.00831275493507592
"131",1874,0.00844571923407996
"132",1873,0.00856756557334111
"133",1872,0.0086778827040533
"134",1871,0.00877631472921732
"135",1870,0.00886256293984077
"136",1869,0.00894074162132585
"137",1868,0.00901047435444486
"138",1867,0.0090715534560492
"139",1866,0.00912379611773893
"140",1865,0.00916704531737738
"141",1864,0.00920303193502692
"142",1863,0.00923675551189688
"143",1862,0.00926815894435256
"144",1861,0.0092971867656366
"145",1860,0.00932378528552069
"146",1859,0.00933176293432945
"147",1858,0.00933704470736936
"148",1857,0.00933959797081222
"149",1856,0.00933939295105376
"150",1855,0.00933640284443833
"151",1854,0.00924847300184618
"152",1853,0.0091401664388839
"153",1852,0.00901245880348605
"154",1851,0.00886643988411577
"155",1850,0.00870329876111485
"156",1849,0.00861323867184046
"157",1848,0.00851799784319517
"158",1847,0.00841776940091466
"159",1846,0.00831275493507592
"160",1845,0.0082031638257915
"161",1844,0.00833413076651671
"162",1843,0.00845844657154354
"163",1842,0.00857575341136978
"164",1841,0.00868571017127757
"165",1840,0.00878799410119678
"166",1839,0.0089818742826485
"167",1838,0.0091356223747326
"168",1837,0.00924705113271954
"169",1836,0.00931455970661518
"170",1835,0.00933717190961978
"171",1834,0.00929359945236899
"172",1833,0.00919873879798299
"173",1832,0.00905474939533894
"174",1831,0.00886455322998502
"175",1830,0.00863174017554379
"176",1829,0.00837374570368738
"177",1828,0.00807876674896745
"178",1827,0.00775129495566565
"179",1826,0.00739617791448573
"180",1825,0.0070185003905157
"181",1824,0.00671401017556918
"182",1823,0.00639838440434089
"183",1822,0.00607426489237638
"184",1821,0.00574429742725922
"185",1820,0.00541109267519626
"186",1819,0.00516769706457637
"187",1818,0.00492444321462606
"188",1817,0.00468229187894238
"189",1816,0.00444216389939713
"190",1815,0.00420493365744708
"191",1814,0.00404300867018471
"192",1813,0.00388567654163405
"193",1812,0.00373301605762809
"194",1811,0.00358508026056781
"195",1810,0.00344189842111749
"196",1809,0.00333996340415165
"197",1808,0.00323958789028312
"198",1807,0.00314081404894094
"199",1806,0.0030436806425347
"200",1805,0.00294822306157865
"201",1804,0.00292462434363548
"202",1803,0.00290113285326883
"203",1802,0.00287774904639641
"204",1801,0.00285447336621058
"205",1800,0.00283130624323145
"206",1799,0.0028237019862826
"207",1798,0.00281614733564818
"208",1797,0.00280864447699171
"209",1796,0.00280119559248819
"210",1795,0.00279380285979022
"211",1794,0.00281710772742419
"212",1793,0.00284052548726652
"213",1792,0.00286405572827201
"214",1791,0.0028876980262619
"215",1790,0.00291145194386385
"216",1789,0.0028876980262619
"217",1788,0.00286405572827201
"218",1787,0.00284052548726652
"219",1786,0.00281710772742419
"220",1785,0.00279380285979022
"221",1784,0.00263386156686025
"222",1783,0.0024795878717992
"223",1782,0.00233107062968293
"224",1781,0.00218836989842367
"225",1780,0.00205151833560764
"226",1779,0.00203244630080945
"227",1778,0.00201349379322766
"228",1777,0.00199466078084928
"229",1776,0.00197594722172198
"230",1775,0.00195735306405198
"231",1774,0.00221619239182332
"232",1773,0.0024949973491644
"233",1772,0.00279303380196306
"234",1771,0.00310917699699912
"235",1770,0.00344189842111749
"236",1769,0.00381026241697847
"237",1768,0.00419484209546552
"238",1767,0.00459282862379439
"239",1766,0.0050009067444389
"240",1765,0.00541528308062458
"241",1764,0.00562356219581317
"242",1763,0.00583341844593483
"243",1762,0.00604432567744514
"244",1761,0.00625572326973964
"245",1760,0.00646701753695231
"246",1759,0.00635315742650652
"247",1758,0.00623644095247924
"248",1757,0.00611709090668343
"249",1756,0.00599533863348508
"250",1755,0.00587142289000808
"251",1754,0.00543501238848781
"252",1753,0.00501012723174275
"253",1752,0.00460039906975468
"254",1751,0.00420870937246016
"255",1750,0.00383722494543256
"256",1749,0.00341627089853945
"257",1748,0.00301965782974015
"258",1747,0.00264992484351758
"259",1746,0.00230876521103698
"260",1745,0.00199708418723403
"261",1744,0.00184433287347156
"262",1743,0.00169921084826721
"263",1742,0.00156176025520691
"264",1741,0.00143197340821633
"265",1740,0.00130979602466355
"266",1739,0.00121449667660694
"267",1738,0.00112407911334467
"268",1737,0.00103851480468146
"269",1736,0.000957750653817875
"270",1735,0.000881710852709163
"271",1734,0.000831212822529681
"272",1733,0.000783735427774936
"273",1732,0.000739117285884094
"274",1731,0.000697202202553888
"275",1730,0.00065783950455381
"276",1729,0.000615694300322273
"277",1728,0.000576013969548021
"278",1727,0.000538679442631827
"279",1726,0.000503574868558108
"280",1725,0.000470587797541798
"281",1724,0.00043519059936609
"282",1723,0.000402048316593186
"283",1722,0.000371053804760721
"284",1721,0.000342101854880301
"285",1720,0.000315089453776337
"286",1719,0.000279301969324758
"287",1718,0.000246931690607244
"288",1717,0.000217747939562961
"289",1716,0.000191522264914258
"290",1715,0.000168030460934346
"291",1714,0.000152757822906866
"292",1713,0.000138797924630253
"293",1712,0.000126048059971716
"294",1711,0.000114412266865174
"295",1710,0.000103801046449624
"296",1709,8.39755952826091e-05
"297",1708,6.76820331274959e-05
"298",1707,5.43496719470792e-05
"299",1706,4.34868534673248e-05
"300",1705,3.46729563444435e-05
"301",1704,2.15862072751749e-05
"302",1703,1.31578081745079e-05
